,index,pitax_2018,pitax_2019,pitax_2020,pitax_2021,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0,<0,0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,353,318,318,298,295,295,139,103,103,100,95
3,0.5-1m,"1,355","1,316","1,322","1,224","1,147","1,147",627,196,164,157,149
4,1-1.5m,"3,806","1,584","1,580","1,639","1,640","1,640","1,055",899,830,740,664
5,1.5-2m,"7,635","8,904","8,980","7,236","6,135","6,135","2,337",952,872,876,869
6,2-3m,"8,746","10,374","10,263","12,618","13,814","13,814","9,567","5,103","4,646","4,225","3,769"
7,3-4m,"4,885","5,677","5,652","6,630","7,423","7,423","15,968","9,549","8,845","7,641","6,680"
8,4-5m,"3,032","3,682","3,625","4,479","4,825","4,825","14,489","10,603","10,503","11,116","10,903"
9,5-10m,"8,828","10,011","10,005","11,338","12,014","12,014","30,394","71,328","72,260","71,734","70,948"
10,>10m,"24,214","27,581","27,364","31,727","34,333","34,333","57,350","143,104","161,097","180,305","202,699"
11,ALL,"62,854","69,447","69,111","77,191","81,627","81,627","131,926","241,838","259,319","276,894","296,776"
