,index,pitax_2018,pitax_2019,pitax_2020,pitax_2021,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0, 0-10n,0,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0,0
2, 0-10p,"6,165","6,820","6,787","7,566","7,986","7,986","19,048","37,638","40,001","42,370","45,045"
3, 10-20,"30,796","33,680","33,534","37,015","38,907","38,907","77,939","166,098","179,131","192,378","207,511"
4, 20-30,"60,118","65,765","65,478","72,336","76,086","76,086","160,878","303,353","325,966","348,662","374,254"
5, 30-40,"101,310","111,647","111,110","124,885","133,207","133,207","241,812","403,453","433,104","462,796","496,214"
6, 40-50,"118,996","132,544","131,801","150,342","160,714","160,714","304,295","532,970","570,954","608,982","651,768"
7, 50-60,"139,514","157,339","156,425","178,354","190,385","190,385","366,804","689,149","738,737","790,497","851,954"
8, 60-70,"172,220","193,217","192,146","217,734","231,732","231,732","434,383","884,196","959,036","1,034,822","1,120,764"
9, 70-80,"225,746","252,082","250,743","282,652","300,047","300,047","533,888","1,105,005","1,195,114","1,285,469","1,387,389"
10, 80-90,"341,615","378,255","376,394","420,720","444,863","444,863","741,708","1,532,904","1,649,701","1,766,646","1,898,382"
11, 90-100,"1,499,308","1,647,241","1,639,722","1,819,104","1,917,053","1,917,053","2,777,672","4,718,086","5,030,887","5,343,846","5,695,991"
12, ALL,"269,631","297,917","296,472","331,135","350,165","350,165","565,938","1,037,443","1,112,431","1,187,825","1,273,117"
13, 90-95,"601,780","663,017","659,893","734,835","776,208","776,208","1,195,478","2,291,202","2,454,356","2,617,653","2,801,566"
14, 95-99,"1,360,345","1,498,063","1,491,068","1,657,924","1,748,813","1,748,813","2,581,427","4,324,611","4,612,195","4,899,924","5,223,708"
15, Top 1%,"6,525,080","7,145,695","7,114,193","7,863,880","8,271,862","8,271,862","11,443,223","18,378,193","19,537,109","20,696,309","21,999,702"
