,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
0,"2,330.0000",1.0000,5.0000,"2,330.0000",1.0000,6.0000,"2,330.0000",1.0000,6.0000,"2,330.0000",1.0000,6.0000,"2,330.0000",1.0000,7.0000,"2,330.0000",1.0000,7.0000,"2,330.0000",1.0000,8.0000,"2,330.0000",1.0000,8.0000,"2,330.0000",1.0000,9.0000,"2,330.0000",1.0000,9.0000,"2,330.0000",1.0000,10.0000,0.1429,0.1429
1,"2,330.0000",3.0000,30.0000,"2,330.0000",3.0000,33.0000,"2,330.0000",3.0000,33.0000,"2,330.0000",3.0000,36.0000,"2,330.0000",3.0000,38.0000,"2,330.0000",3.0000,38.0000,"2,330.0000",4.0000,46.0000,"2,330.0000",5.0000,53.0000,"2,330.0000",5.0000,57.0000,"2,330.0000",6.0000,60.0000,"2,330.0000",6.0000,64.0000,0.0789,0.0789
2,"2,330.0000",6.0000,90.0000,"2,330.0000",6.0000,99.0000,"2,330.0000",6.0000,98.0000,"2,330.0000",7.0000,109.0000,"2,330.0000",7.0000,114.0000,"2,330.0000",7.0000,114.0000,"2,330.0000",10.0000,152.0000,"2,330.0000",14.0000,189.0000,"2,330.0000",15.0000,200.0000,"2,330.0000",16.0000,212.0000,"2,330.0000",18.0000,225.0000,0.0614,0.0614
3,"2,330.0000",10.0000,184.0000,"2,330.0000",11.0000,202.0000,"2,330.0000",11.0000,201.0000,"2,330.0000",12.0000,221.0000,"2,330.0000",13.0000,233.0000,"2,330.0000",13.0000,233.0000,"2,330.0000",23.0000,344.0000,"2,330.0000",33.0000,486.0000,"2,330.0000",35.0000,516.0000,"2,330.0000",37.0000,546.0000,"2,330.0000",39.0000,580.0000,0.0558,0.0558
4,"2,330.0000",11.0000,300.0000,"2,330.0000",13.0000,328.0000,"2,330.0000",13.0000,327.0000,"2,330.0000",15.0000,361.0000,"2,330.0000",17.0000,379.0000,"2,330.0000",17.0000,379.0000,"2,330.0000",38.0000,621.0000,"2,330.0000",66.0000,995.0000,"2,330.0000",70.0000,"1,056.0000","2,330.0000",75.0000,"1,118.0000","2,330.0000",79.0000,"1,187.0000",0.0449,0.0449
5,"2,330.0000",18.0000,438.0000,"2,330.0000",21.0000,478.0000,"2,330.0000",21.0000,476.0000,"2,330.0000",23.0000,526.0000,"2,330.0000",24.0000,553.0000,"2,330.0000",24.0000,553.0000,"2,330.0000",59.0000,967.0000,"2,330.0000",109.0000,"1,686.0000","2,330.0000",116.0000,"1,791.0000","2,330.0000",122.0000,"1,895.0000","2,330.0000",130.0000,"2,013.0000",0.0434,0.0434
6,"2,330.0000",18.0000,505.0000,"2,330.0000",20.0000,552.0000,"2,330.0000",20.0000,550.0000,"2,330.0000",22.0000,607.0000,"2,330.0000",23.0000,638.0000,"2,330.0000",23.0000,638.0000,"2,330.0000",65.0000,"1,252.0000","2,330.0000",140.0000,"2,322.0000","2,330.0000",149.0000,"2,466.0000","2,330.0000",158.0000,"2,610.0000","2,330.0000",168.0000,"2,772.0000",0.0361,0.0361
7,"2,330.0000",22.0000,542.0000,"2,330.0000",24.0000,593.0000,"2,330.0000",24.0000,591.0000,"2,330.0000",26.0000,652.0000,"2,330.0000",28.0000,685.0000,"2,330.0000",28.0000,685.0000,"2,330.0000",72.0000,"1,349.0000","2,330.0000",158.0000,"2,611.0000","2,330.0000",168.0000,"2,773.0000","2,330.0000",178.0000,"2,934.0000","2,330.0000",189.0000,"3,116.0000",0.0409,0.0409
8,"2,330.0000",25.0000,596.0000,"2,330.0000",27.0000,652.0000,"2,330.0000",27.0000,649.0000,"2,330.0000",30.0000,716.0000,"2,330.0000",32.0000,753.0000,"2,330.0000",32.0000,753.0000,"2,330.0000",81.0000,"1,468.0000","2,330.0000",167.0000,"2,759.0000","2,330.0000",178.0000,"2,930.0000","2,330.0000",188.0000,"3,101.0000","2,330.0000",200.0000,"3,293.0000",0.0425,0.0425
9,"2,340.0000",31.0000,669.0000,"2,340.0000",34.0000,731.0000,"2,340.0000",34.0000,728.0000,"2,340.0000",37.0000,803.0000,"2,340.0000",39.0000,844.0000,"2,340.0000",39.0000,844.0000,"2,340.0000",92.0000,"1,635.0000","2,340.0000",184.0000,"2,980.0000","2,340.0000",196.0000,"3,165.0000","2,340.0000",207.0000,"3,349.0000","2,340.0000",220.0000,"3,557.0000",0.0462,0.0462
10,"2,330.0000",37.0000,759.0000,"2,330.0000",40.0000,829.0000,"2,330.0000",40.0000,826.0000,"2,330.0000",44.0000,911.0000,"2,330.0000",47.0000,958.0000,"2,330.0000",47.0000,958.0000,"2,330.0000",108.0000,"1,837.0000","2,330.0000",214.0000,"3,235.0000","2,330.0000",228.0000,"3,435.0000","2,330.0000",242.0000,"3,636.0000","2,330.0000",258.0000,"3,861.0000",0.0491,0.0491
11,"2,330.0000",42.0000,854.0000,"2,330.0000",46.0000,934.0000,"2,330.0000",46.0000,930.0000,"2,330.0000",51.0000,"1,026.0000","2,330.0000",53.0000,"1,078.0000","2,330.0000",53.0000,"1,078.0000","2,330.0000",123.0000,"2,064.0000","2,330.0000",243.0000,"3,522.0000","2,330.0000",258.0000,"3,740.0000","2,330.0000",276.0000,"3,958.0000","2,330.0000",300.0000,"4,204.0000",0.0492,0.0492
12,"2,330.0000",50.0000,971.0000,"2,330.0000",55.0000,"1,061.0000","2,330.0000",55.0000,"1,057.0000","2,330.0000",61.0000,"1,166.0000","2,330.0000",64.0000,"1,225.0000","2,330.0000",64.0000,"1,225.0000","2,330.0000",134.0000,"2,282.0000","2,330.0000",261.0000,"3,895.0000","2,330.0000",284.0000,"4,137.0000","2,330.0000",308.0000,"4,378.0000","2,330.0000",337.0000,"4,650.0000",0.0522,0.0522
13,"2,330.0000",58.0000,"1,082.0000","2,330.0000",63.0000,"1,183.0000","2,330.0000",63.0000,"1,178.0000","2,330.0000",69.0000,"1,300.0000","2,330.0000",73.0000,"1,367.0000","2,330.0000",73.0000,"1,367.0000","2,330.0000",153.0000,"2,522.0000","2,330.0000",311.0000,"4,268.0000","2,330.0000",340.0000,"4,533.0000","2,330.0000",370.0000,"4,798.0000","2,330.0000",403.0000,"5,095.0000",0.0534,0.0534
14,"2,330.0000",67.0000,"1,180.0000","2,330.0000",73.0000,"1,291.0000","2,330.0000",73.0000,"1,285.0000","2,330.0000",80.0000,"1,418.0000","2,330.0000",85.0000,"1,490.0000","2,330.0000",85.0000,"1,490.0000","2,330.0000",169.0000,"2,735.0000","2,330.0000",380.0000,"4,621.0000","2,330.0000",410.0000,"4,907.0000","2,330.0000",440.0000,"5,194.0000","2,330.0000",475.0000,"5,516.0000",0.0570,0.0570
15,"2,330.0000",77.0000,"1,304.0000","2,330.0000",85.0000,"1,426.0000","2,330.0000",84.0000,"1,420.0000","2,330.0000",93.0000,"1,566.0000","2,330.0000",98.0000,"1,646.0000","2,330.0000",98.0000,"1,646.0000","2,330.0000",191.0000,"2,917.0000","2,330.0000",443.0000,"4,866.0000","2,330.0000",478.0000,"5,167.0000","2,330.0000",513.0000,"5,469.0000","2,330.0000",552.0000,"5,808.0000",0.0595,0.0595
16,"2,330.0000",90.0000,"1,469.0000","2,330.0000",99.0000,"1,606.0000","2,330.0000",98.0000,"1,599.0000","2,330.0000",108.0000,"1,764.0000","2,330.0000",114.0000,"1,854.0000","2,330.0000",114.0000,"1,854.0000","2,330.0000",209.0000,"3,110.0000","2,330.0000",455.0000,"5,129.0000","2,330.0000",491.0000,"5,447.0000","2,330.0000",527.0000,"5,765.0000","2,330.0000",567.0000,"6,122.0000",0.0615,0.0615
17,"2,330.0000",96.0000,"1,549.0000","2,330.0000",105.0000,"1,694.0000","2,330.0000",105.0000,"1,686.0000","2,330.0000",116.0000,"1,861.0000","2,330.0000",122.0000,"1,956.0000","2,330.0000",122.0000,"1,956.0000","2,330.0000",233.0000,"3,310.0000","2,330.0000",500.0000,"5,391.0000","2,330.0000",539.0000,"5,725.0000","2,330.0000",579.0000,"6,060.0000","2,330.0000",623.0000,"6,435.0000",0.0624,0.0624
18,"2,340.0000",97.0000,"1,605.0000","2,340.0000",106.0000,"1,754.0000","2,340.0000",106.0000,"1,747.0000","2,340.0000",117.0000,"1,928.0000","2,340.0000",123.0000,"2,026.0000","2,340.0000",123.0000,"2,026.0000","2,340.0000",245.0000,"3,561.0000","2,340.0000",526.0000,"5,656.0000","2,340.0000",567.0000,"6,007.0000","2,340.0000",608.0000,"6,357.0000","2,340.0000",654.0000,"6,751.0000",0.0607,0.0607
19,"2,330.0000",103.0000,"1,650.0000","2,330.0000",112.0000,"1,804.0000","2,330.0000",112.0000,"1,796.0000","2,330.0000",123.0000,"1,982.0000","2,330.0000",130.0000,"2,083.0000","2,330.0000",130.0000,"2,083.0000","2,330.0000",253.0000,"3,766.0000","2,330.0000",539.0000,"5,857.0000","2,330.0000",581.0000,"6,220.0000","2,330.0000",622.0000,"6,583.0000","2,330.0000",670.0000,"6,991.0000",0.0624,0.0624
20,"2,330.0000",106.0000,"1,705.0000","2,330.0000",116.0000,"1,864.0000","2,330.0000",116.0000,"1,856.0000","2,330.0000",128.0000,"2,048.0000","2,330.0000",134.0000,"2,153.0000","2,330.0000",134.0000,"2,153.0000","2,330.0000",274.0000,"3,942.0000","2,330.0000",576.0000,"6,104.0000","2,330.0000",621.0000,"6,482.0000","2,330.0000",666.0000,"6,860.0000","2,330.0000",717.0000,"7,285.0000",0.0622,0.0622
